DFA->31099
NFA->2525
Creation time    DFA->28399680808 NFA->453555877
Browsing->(113/1000)   DFA->4527635 NFA->138582117
Browsing->(114/1000)   DFA->3614843 NFA->164593503
Browsing->(115/1000)   DFA->3168803 NFA->98982125
Browsing->(116/1000)   DFA->3686282 NFA->90583308
Browsing->(117/1000)   DFA->3972335 NFA->95860740
Browsing->(118/1000)   DFA->3834261 NFA->141161401
Browsing->(119/1000)   DFA->3536499 NFA->123477694
Browsing->(120/1000)   DFA->3538002 NFA->117978737
Browsing->(121/1000)   DFA->3018423 NFA->92908955
Browsing->(122/1000)   DFA->3512187 NFA->109975233
Browsing->(123/1000)   DFA->3507986 NFA->116598292
Browsing->(124/1000)   DFA->3937818 NFA->176146114
Browsing->(125/1000)   DFA->7274713 NFA->167725386
Browsing->(126/1000)   DFA->3699189 NFA->114189197
Browsing->(127/1000)   DFA->4126921 NFA->145031082
Browsing->(128/1000)   DFA->4048579 NFA->156492448
Browsing->(129/1000)   DFA->4057881 NFA->129207172
Browsing->(130/1000)   DFA->3529297 NFA->119590906
Browsing->(131/1000)   DFA->3536503 NFA->124137151
Browsing->(132/1000)   DFA->3228233 NFA->100843129
Browsing->(133/1000)   DFA->4006856 NFA->147076687
Browsing->(134/1000)   DFA->3306279 NFA->113549853
Browsing->(135/1000)   DFA->3296669 NFA->118506724
Browsing->(136/1000)   DFA->4243385 NFA->149221037
Browsing->(137/1000)   DFA->4082195 NFA->143263134
Browsing->(138/1000)   DFA->4322626 NFA->173948932
Browsing->(139/1000)   DFA->6946034 NFA->134314120
Browsing->(140/1000)   DFA->3627750 NFA->111410904
Browsing->(141/1000)   DFA->3357305 NFA->105612090
Browsing->(142/1000)   DFA->3810552 NFA->151757103
Browsing->(143/1000)   DFA->4199854 NFA->144128200
Browsing->(144/1000)   DFA->3449456 NFA->109886687
Browsing->(145/1000)   DFA->3926113 NFA->138152885
Browsing->(146/1000)   DFA->3435951 NFA->141868582
Browsing->(147/1000)   DFA->8671663 NFA->159624031
Browsing->(148/1000)   DFA->3598335 NFA->120948232
Browsing->(149/1000)   DFA->3551808 NFA->141208226
Browsing->(150/1000)   DFA->3763123 NFA->138127669
Browsing->(151/1000)   DFA->3930915 NFA->151920088
Browsing->(152/1000)   DFA->3958830 NFA->149214438
Browsing->(153/1000)   DFA->3918604 NFA->148566385
Browsing->(154/1000)   DFA->4429183 NFA->157702696
Browsing->(155/1000)   DFA->4164742 NFA->150251789
Browsing->(156/1000)   DFA->3393025 NFA->101883787
Browsing->(157/1000)   DFA->3323085 NFA->110886228
Browsing->(158/1000)   DFA->3355208 NFA->104451061
Browsing->(159/1000)   DFA->3471367 NFA->93274555
Browsing->(160/1000)   DFA->3522095 NFA->122331377
Browsing->(161/1000)   DFA->3085058 NFA->91665991
Browsing->(162/1000)   DFA->3547010 NFA->122520478
Browsing->(163/1000)   DFA->3483072 NFA->108202182
Browsing->(164/1000)   DFA->3183512 NFA->80850572
Browsing->(165/1000)   DFA->2805306 NFA->83588345
Browsing->(166/1000)   DFA->3083858 NFA->92869036
Browsing->(167/1000)   DFA->2702053 NFA->74960204
Browsing->(168/1000)   DFA->3728004 NFA->108175463
Browsing->(169/1000)   DFA->4509923 NFA->170109868
Browsing->(170/1000)   DFA->6113383 NFA->117986844
Browsing->(171/1000)   DFA->3966933 NFA->120491089
Browsing->(172/1000)   DFA->3751415 NFA->116580886
Browsing->(173/1000)   DFA->3200921 NFA->98020406
Browsing->(174/1000)   DFA->3416440 NFA->105389368
Browsing->(175/1000)   DFA->3488773 NFA->119740686
Browsing->(176/1000)   DFA->2896557 NFA->85625242
Browsing->(177/1000)   DFA->3544310 NFA->133650763
Browsing->(178/1000)   DFA->3956127 NFA->116537061
Browsing->(179/1000)   DFA->4580162 NFA->130630541
Browsing->(180/1000)   DFA->3663170 NFA->117178803
Browsing->(181/1000)   DFA->3540400 NFA->122356295
Browsing->(182/1000)   DFA->4279701 NFA->144637274
Browsing->(183/1000)   DFA->3219532 NFA->103838439
Browsing->(184/1000)   DFA->3407432 NFA->123725032
Browsing->(185/1000)   DFA->3720198 NFA->131224556
Browsing->(186/1000)   DFA->3188914 NFA->89570265
Browsing->(187/1000)   DFA->2561277 NFA->65375451
Browsing->(188/1000)   DFA->3738210 NFA->121197970
Browsing->(189/1000)   DFA->3117772 NFA->93252942
