DFA->2324
NFA->1171
Creation time    DFA->123909626 NFA->38992466
Browsing->(0)   DFA->67813064 NFA->340822161
Browsing->(1)   DFA->20217672 NFA->342755799
Browsing->(2)   DFA->18578791 NFA->86351333
Browsing->(3)   DFA->19480775 NFA->228538386
Browsing->(4)   DFA->23777284 NFA->216451485
Browsing->(5)   DFA->18426307 NFA->83037550
Browsing->(6)   DFA->16167593 NFA->100339452
Browsing->(7)   DFA->15241595 NFA->180910575
Browsing->(8)   DFA->15330444 NFA->180099538
Browsing->(9)   DFA->15225386 NFA->149172410
Browsing->(10)   DFA->15695739 NFA->44816198
Browsing->(11)   DFA->16722894 NFA->192273185
Browsing->(12)   DFA->15111326 NFA->192547234
Browsing->(13)   DFA->14804262 NFA->2437609
Browsing->(14)   DFA->15009570 NFA->36252593
Browsing->(15)   DFA->14888603 NFA->146774420
Browsing->(16)   DFA->14971150 NFA->72155496
Browsing->(17)   DFA->15042288 NFA->44060693
Browsing->(18)   DFA->15703843 NFA->184210549
Browsing->(19)   DFA->15501233 NFA->72553511
Browsing->(20)   DFA->15672027 NFA->78842194
Browsing->(21)   DFA->15503037 NFA->182216878
Browsing->(22)   DFA->15551663 NFA->108789896
Browsing->(23)   DFA->15072606 NFA->73587267
Browsing->(24)   DFA->15058498 NFA->103792208
Browsing->(25)   DFA->14830071 NFA->183553497
Browsing->(26)   DFA->15491929 NFA->194880089
Browsing->(27)   DFA->15711648 NFA->193447118
Browsing->(28)   DFA->15020977 NFA->7407083
Browsing->(29)   DFA->15342751 NFA->107096387
Browsing->(30)   DFA->15249097 NFA->185756079
Browsing->(31)   DFA->15240094 NFA->217424309
Browsing->(32)   DFA->14888607 NFA->53188302
Browsing->(33)   DFA->15256904 NFA->186787735
Browsing->(34)   DFA->15246098 NFA->184915930
Browsing->(35)   DFA->15331644 NFA->190293923
Browsing->(36)   DFA->14970551 NFA->37844350
Browsing->(37)   DFA->15262608 NFA->79139353
Browsing->(38)   DFA->14951640 NFA->68473118
Browsing->(39)   DFA->15418691 NFA->211933157
Browsing->(40)   DFA->15262306 NFA->69328277
Browsing->(41)   DFA->15213379 NFA->206524848
Browsing->(42)   DFA->15023678 NFA->184550032
Browsing->(43)   DFA->14853487 NFA->210185316
Browsing->(44)   DFA->15002667 NFA->67497593
Browsing->(45)   DFA->14869995 NFA->81008759
Browsing->(46)   DFA->14782648 NFA->49830694
Browsing->(47)   DFA->15386273 NFA->208305706
Browsing->(48)   DFA->15333446 NFA->214073908
Browsing->(49)   DFA->15014374 NFA->71791101
Browsing->(50)   DFA->15117629 NFA->73664108
Browsing->(51)   DFA->15290523 NFA->73198859
Browsing->(52)   DFA->15213980 NFA->149250452
Browsing->(53)   DFA->15290222 NFA->213082475
Browsing->(54)   DFA->17629377 NFA->44395072
Browsing->(55)   DFA->15608393 NFA->192994172
Browsing->(56)   DFA->15343952 NFA->102307311
Browsing->(57)   DFA->15091516 NFA->192353326
Browsing->(58)   DFA->15098418 NFA->52248797
Browsing->(59)   DFA->15405183 NFA->209593699
Browsing->(60)   DFA->15205576 NFA->71498145
Browsing->(61)   DFA->14937533 NFA->2109534
Browsing->(62)   DFA->14923124 NFA->150097807
Browsing->(63)   DFA->15164455 NFA->72979742
Browsing->(64)   DFA->15509637 NFA->77187103
Browsing->(65)   DFA->15424994 NFA->209234702
Browsing->(66)   DFA->14857389 NFA->2542368
Browsing->(67)   DFA->15434900 NFA->184603461
Browsing->(68)   DFA->15047692 NFA->103379786
Browsing->(69)   DFA->15042890 NFA->210586932
Browsing->(70)   DFA->15041386 NFA->212686863
Browsing->(71)   DFA->15289021 NFA->103236912
Browsing->(72)   DFA->15032383 NFA->190863627
Browsing->(73)   DFA->15035985 NFA->201081423
Browsing->(74)   DFA->15147045 NFA->61474556
Browsing->(75)   DFA->14885003 NFA->179637592
Browsing->(76)   DFA->15045289 NFA->37506968
Browsing->(77)   DFA->14998464 NFA->52535448
Browsing->(78)   DFA->15814602 NFA->184959755
Browsing->(79)   DFA->14700103 NFA->39620105
Browsing->(80)   DFA->15092414 NFA->189886305
Browsing->(81)   DFA->15087012 NFA->182335743
Browsing->(82)   DFA->15043789 NFA->102322019
Browsing->(83)   DFA->14916821 NFA->181993558
Browsing->(84)   DFA->14691698 NFA->36864923
Browsing->(85)   DFA->14965147 NFA->70777457
Browsing->(86)   DFA->15045591 NFA->67405444
Browsing->(87)   DFA->15016175 NFA->72286669
Browsing->(88)   DFA->17883916 NFA->235573569
Browsing->(89)   DFA->16070342 NFA->82368190
Browsing->(90)   DFA->18234805 NFA->286584497
Browsing->(91)   DFA->16147182 NFA->251851622
Browsing->(92)   DFA->16568009 NFA->266090375
Browsing->(93)   DFA->18061610 NFA->56155093
Browsing->(94)   DFA->22473684 NFA->176407255
Browsing->(95)   DFA->18196684 NFA->244910988
Browsing->(96)   DFA->16562906 NFA->237973357
Browsing->(97)   DFA->20582668 NFA->253608465
Browsing->(98)   DFA->15497933 NFA->88470172
Browsing->(99)   DFA->24217323 NFA->203820694
Browsing->(100)   DFA->16475259 NFA->87095430
Browsing->(101)   DFA->16758310 NFA->206417391
Browsing->(102)   DFA->16991238 NFA->78868906
Browsing->(103)   DFA->18726771 NFA->263540806
Browsing->(104)   DFA->15631806 NFA->115487699
Browsing->(105)   DFA->16184402 NFA->231892389
Browsing->(106)   DFA->15921761 NFA->200808575
Browsing->(107)   DFA->16547299 NFA->232465698
Browsing->(108)   DFA->16782024 NFA->114460545
Browsing->(109)   DFA->16142380 NFA->200772256
Browsing->(110)   DFA->15376668 NFA->40736404
Browsing->(111)   DFA->21259832 NFA->164217700
Browsing->(112)   DFA->15360760 NFA->88549714
Browsing->(113)   DFA->15121832 NFA->102366142
Browsing->(114)   DFA->15210378 NFA->158426386
Browsing->(115)   DFA->16850161 NFA->40333587
Browsing->(116)   DFA->16679369 NFA->79427510
Browsing->(117)   DFA->15254802 NFA->8288657
Browsing->(118)   DFA->15660618 NFA->109447250
Browsing->(119)   DFA->15779486 NFA->190839314
Browsing->(120)   DFA->15505137 NFA->71702554
Browsing->(121)   DFA->15914256 NFA->99874203
Browsing->(122)   DFA->15089714 NFA->190180460
Browsing->(123)   DFA->15414789 NFA->184875107
Browsing->(124)   DFA->14844782 NFA->5938693
Browsing->(125)   DFA->15324741 NFA->154725395
Browsing->(126)   DFA->15035386 NFA->35770234
Browsing->(127)   DFA->15058797 NFA->211010161
Browsing->(128)   DFA->15520445 NFA->73017263
Browsing->(129)   DFA->15626402 NFA->215760814
Browsing->(130)   DFA->15476021 NFA->186791639
Browsing->(131)   DFA->15389575 NFA->79480336
Browsing->(132)   DFA->16373203 NFA->191510174
Browsing->(133)   DFA->14843882 NFA->70224559
Browsing->(134)   DFA->15219383 NFA->181379427
Browsing->(135)   DFA->15490429 NFA->104771636
Browsing->(136)   DFA->14943536 NFA->47600196
Browsing->(137)   DFA->25495110 NFA->130740098
Browsing->(138)   DFA->16038224 NFA->199304767
Browsing->(139)   DFA->15568771 NFA->54170128
Browsing->(140)   DFA->15104721 NFA->190487827
Browsing->(141)   DFA->15574474 NFA->184846294
Browsing->(142)   DFA->15600589 NFA->102512922
Browsing->(143)   DFA->15792693 NFA->67814864
Browsing->(144)   DFA->14790754 NFA->41951459
Browsing->(145)   DFA->15258705 NFA->224131715
Browsing->(146)   DFA->15732359 NFA->38150813
Browsing->(147)   DFA->15177660 NFA->79499548
Browsing->(148)   DFA->15642610 NFA->148230803
Browsing->(149)   DFA->15359859 NFA->184664394
Browsing->(150)   DFA->15136237 NFA->72519896
Browsing->(151)   DFA->15148845 NFA->104722109
Browsing->(152)   DFA->15673828 NFA->76481123
Browsing->(153)   DFA->15063300 NFA->190121628
Browsing->(154)   DFA->16247435 NFA->75055358
Browsing->(155)   DFA->15043790 NFA->38681199
Browsing->(156)   DFA->14791954 NFA->38901517
Browsing->(157)   DFA->14856788 NFA->46504006
Browsing->(158)   DFA->14908716 NFA->183165387
Browsing->(159)   DFA->15141641 NFA->104350808
Browsing->(160)   DFA->14963046 NFA->106086344
Browsing->(161)   DFA->15154548 NFA->197833674
Browsing->(162)   DFA->21762602 NFA->7268410
Browsing->(163)   DFA->16170896 NFA->54034154
Browsing->(164)   DFA->15579278 NFA->150196259
Browsing->(165)   DFA->15326841 NFA->149263360
Browsing->(166)   DFA->15484725 NFA->185214291
Browsing->(167)   DFA->15509939 NFA->217159867
Browsing->(168)   DFA->15487427 NFA->82197399
Browsing->(169)   DFA->18744478 NFA->214216483
Browsing->(170)   DFA->14799157 NFA->36802491
Browsing->(171)   DFA->15111926 NFA->42558383
Browsing->(172)   DFA->15220584 NFA->78264084
Browsing->(173)   DFA->15017676 NFA->106071035
Browsing->(174)   DFA->16170896 NFA->48481770
Browsing->(175)   DFA->19462164 NFA->108862836
Browsing->(176)   DFA->16629842 NFA->210547312
Browsing->(177)   DFA->18146855 NFA->221790456
Browsing->(178)   DFA->18950389 NFA->208354633
Browsing->(179)   DFA->15506338 NFA->2700252
Browsing->(180)   DFA->15277012 NFA->5951900
Browsing->(181)   DFA->15881539 NFA->188478545
Browsing->(182)   DFA->14993362 NFA->55647222
Browsing->(183)   DFA->18398092 NFA->225784405
Browsing->(184)   DFA->15466117 NFA->106056928
Browsing->(185)   DFA->15287820 NFA->73138526
Browsing->(186)   DFA->15046489 NFA->2109835
Browsing->(187)   DFA->15268310 NFA->155750749
Browsing->(188)   DFA->15344550 NFA->69717286
Browsing->(189)   DFA->15574774 NFA->79851636
Browsing->(190)   DFA->15292322 NFA->5320061
Browsing->(191)   DFA->15442703 NFA->208873012
Browsing->(192)   DFA->15140740 NFA->66885866
Browsing->(193)   DFA->15941272 NFA->106095948
Browsing->(194)   DFA->17204049 NFA->52792086
Browsing->(195)   DFA->15491629 NFA->192540630
Browsing->(196)   DFA->14936930 NFA->180756892
Browsing->(197)   DFA->15002966 NFA->6343011
Browsing->(198)   DFA->15089713 NFA->204956507
Browsing->(199)   DFA->15021277 NFA->186537404
Browsing->(200)   DFA->14907517 NFA->70508811
Browsing->(201)   DFA->15618298 NFA->6236754
Browsing->(202)   DFA->15317837 NFA->196361684
Browsing->(203)   DFA->15268911 NFA->185953286
Browsing->(204)   DFA->15372164 NFA->148425608
Browsing->(205)   DFA->15051893 NFA->186119576
Browsing->(206)   DFA->15652815 NFA->218597642
Browsing->(207)   DFA->15644411 NFA->150120921
Browsing->(208)   DFA->15427996 NFA->209665137
Browsing->(209)   DFA->15215482 NFA->214074809
Browsing->(210)   DFA->15290222 NFA->186627149
Browsing->(211)   DFA->15159350 NFA->152766843
Browsing->(212)   DFA->15683133 NFA->198771979
Browsing->(213)   DFA->16986433 NFA->104910012
Browsing->(214)   DFA->16085047 NFA->40623841
Browsing->(215)   DFA->16954018 NFA->199694974
Browsing->(216)   DFA->15928064 NFA->196815227
Browsing->(217)   DFA->16067640 NFA->204721478
Browsing->(218)   DFA->27170308 NFA->237894415
Browsing->(219)   DFA->19833765 NFA->222217287
Browsing->(220)   DFA->15417188 NFA->76917860
Browsing->(221)   DFA->15069002 NFA->7312232
Browsing->(222)   DFA->15283318 NFA->36203366
Browsing->(223)   DFA->15346051 NFA->219440491
Browsing->(224)   DFA->16421828 NFA->58415910
Browsing->(225)   DFA->15878835 NFA->65028467
Browsing->(226)   DFA->18328156 NFA->218020730
Browsing->(227)   DFA->15977288 NFA->44796087
Browsing->(228)   DFA->15628505 NFA->6651278
Browsing->(229)   DFA->15839518 NFA->98062728
Browsing->(230)   DFA->15355057 NFA->181579335
Browsing->(231)   DFA->15432195 NFA->80214831
Browsing->(232)   DFA->16009408 NFA->228695070
Browsing->(233)   DFA->15704144 NFA->153736064
Browsing->(234)   DFA->16173297 NFA->71691449
Browsing->(235)   DFA->15885142 NFA->180324360
Browsing->(236)   DFA->15388975 NFA->99052359
Browsing->(237)   DFA->14982256 NFA->77412224
Browsing->(238)   DFA->15666625 NFA->227608485
Browsing->(239)   DFA->15322338 NFA->193129846
Browsing->(240)   DFA->14985258 NFA->148400094
Browsing->(241)   DFA->16724993 NFA->187461900
Browsing->(242)   DFA->15304930 NFA->212880465
