DFA->8291
NFA->111
Creation time    DFA->697042300 NFA->13948801
Browsing->(0/1000)   DFA->5328466 NFA->14222248
Browsing->(1/1000)   DFA->2106831 NFA->11220333
Browsing->(2/1000)   DFA->2440011 NFA->10997612
Browsing->(3/1000)   DFA->2806810 NFA->6033243
Browsing->(4/1000)   DFA->2621910 NFA->5357882
Browsing->(5/1000)   DFA->4401567 NFA->7552661
Browsing->(6/1000)   DFA->2931379 NFA->5345874
Browsing->(7/1000)   DFA->679264 NFA->6017035
Browsing->(8/1000)   DFA->595221 NFA->4946958
Browsing->(9/1000)   DFA->652249 NFA->6771641
Browsing->(10/1000)   DFA->996537 NFA->5595009
Browsing->(11/1000)   DFA->676265 NFA->5863652
Browsing->(12/1000)   DFA->726092 NFA->6601148
Browsing->(13/1000)   DFA->675063 NFA->5676950
Browsing->(14/1000)   DFA->752204 NFA->8162289
Browsing->(15/1000)   DFA->606925 NFA->5482747
Browsing->(16/1000)   DFA->606928 NFA->4856909
Browsing->(17/1000)   DFA->687671 NFA->29782613
Browsing->(18/1000)   DFA->826045 NFA->3798841
Browsing->(19/1000)   DFA->839549 NFA->3872681
Browsing->(20/1000)   DFA->775917 NFA->3692889
Browsing->(21/1000)   DFA->789724 NFA->3713898
Browsing->(22/1000)   DFA->457447 NFA->2582591
Browsing->(23/1000)   DFA->456842 NFA->3613944
Browsing->(24/1000)   DFA->870467 NFA->3676679
Browsing->(25/1000)   DFA->593717 NFA->3363006
Browsing->(26/1000)   DFA->631841 NFA->3797342
Browsing->(27/1000)   DFA->628539 NFA->3993046
Browsing->(28/1000)   DFA->1328216 NFA->8288655
Browsing->(29/1000)   DFA->715884 NFA->4467904
Browsing->(30/1000)   DFA->699677 NFA->3662271
Browsing->(31/1000)   DFA->636045 NFA->3036136
Browsing->(32/1000)   DFA->718287 NFA->4088799
Browsing->(33/1000)   DFA->421427 NFA->2926871
Browsing->(34/1000)   DFA->557100 NFA->3388825
Browsing->(35/1000)   DFA->674764 NFA->3338696
Browsing->(36/1000)   DFA->730592 NFA->4008653
Browsing->(37/1000)   DFA->758807 NFA->4036274
Browsing->(38/1000)   DFA->475159 NFA->3092264
Browsing->(39/1000)   DFA->837449 NFA->3913502
Browsing->(40/1000)   DFA->984829 NFA->4162038
Browsing->(41/1000)   DFA->775918 NFA->5662845
Browsing->(42/1000)   DFA->1182635 NFA->6017634
Browsing->(43/1000)   DFA->790025 NFA->3954626
Browsing->(44/1000)   DFA->469153 NFA->2467328
Browsing->(45/1000)   DFA->550496 NFA->3504684
Browsing->(46/1000)   DFA->530687 NFA->4377850
Browsing->(47/1000)   DFA->973125 NFA->3659267
Browsing->(48/1000)   DFA->500369 NFA->3219534
Browsing->(49/1000)   DFA->755506 NFA->4279701
Browsing->(50/1000)   DFA->693974 NFA->3690484
Browsing->(51/1000)   DFA->550497 NFA->3972635
Browsing->(52/1000)   DFA->465551 NFA->3673975
Browsing->(53/1000)   DFA->945809 NFA->5177783
Browsing->(54/1000)   DFA->757008 NFA->3686884
Browsing->(55/1000)   DFA->597320 NFA->6535114
Browsing->(56/1000)   DFA->928700 NFA->7259102
Browsing->(57/1000)   DFA->1025354 NFA->5632830
Browsing->(58/1000)   DFA->911591 NFA->6649777
Browsing->(59/1000)   DFA->1520618 NFA->8565406
Browsing->(60/1000)   DFA->1037957 NFA->8751806
Browsing->(61/1000)   DFA->953013 NFA->3746015
Browsing->(62/1000)   DFA->690672 NFA->4534539
Browsing->(63/1000)   DFA->929900 NFA->3750216
Browsing->(64/1000)   DFA->880072 NFA->5423917
Browsing->(65/1000)   DFA->695475 NFA->4317219
Browsing->(66/1000)   DFA->471249 NFA->4265294
Browsing->(67/1000)   DFA->701777 NFA->3117775
Browsing->(68/1000)   DFA->557400 NFA->4847610
Browsing->(69/1000)   DFA->662454 NFA->4447192
Browsing->(70/1000)   DFA->552298 NFA->4277901
Browsing->(71/1000)   DFA->585915 NFA->5427219
Browsing->(72/1000)   DFA->892081 NFA->3819554
Browsing->(73/1000)   DFA->424428 NFA->3017823
Browsing->(74/1000)   DFA->678367 NFA->4582560
Browsing->(75/1000)   DFA->841352 NFA->4195351
Browsing->(76/1000)   DFA->620736 NFA->4612879
Browsing->(77/1000)   DFA->15933470 NFA->4389564
Browsing->(78/1000)   DFA->715884 NFA->4731143
Browsing->(79/1000)   DFA->561901 NFA->4169242
Browsing->(80/1000)   DFA->774717 NFA->4423479
Browsing->(81/1000)   DFA->992033 NFA->8446839
Browsing->(82/1000)   DFA->1005540 NFA->6056357
Browsing->(83/1000)   DFA->913995 NFA->4798379
Browsing->(84/1000)   DFA->518678 NFA->4735945
Browsing->(85/1000)   DFA->800530 NFA->4700827
Browsing->(86/1000)   DFA->740198 NFA->4365245
Browsing->(87/1000)   DFA->935602 NFA->5510662
Browsing->(88/1000)   DFA->909492 NFA->6963146
Browsing->(89/1000)   DFA->1150219 NFA->6446867
Browsing->(90/1000)   DFA->716486 NFA->5259430
Browsing->(91/1000)   DFA->551397 NFA->3776932
Browsing->(92/1000)   DFA->423227 NFA->6217543
Browsing->(93/1000)   DFA->239228 NFA->3501080
Browsing->(94/1000)   DFA->248834 NFA->4534837
Browsing->(95/1000)   DFA->252436 NFA->4608678
Browsing->(96/1000)   DFA->245531 NFA->5513065
Browsing->(97/1000)   DFA->282454 NFA->3915604
Browsing->(98/1000)   DFA->241630 NFA->3557215
Browsing->(99/1000)   DFA->238630 NFA->4142825
Browsing->(100/1000)   DFA->229624 NFA->3819253
Browsing->(101/1000)   DFA->214316 NFA->3427244
Browsing->(102/1000)   DFA->208013 NFA->4055481
Browsing->(103/1000)   DFA->254538 NFA->4675014
Browsing->(104/1000)   DFA->275246 NFA->4451393
Browsing->(105/1000)   DFA->306464 NFA->5696761
Browsing->(106/1000)   DFA->244032 NFA->4114313
Browsing->(107/1000)   DFA->229623 NFA->3338994
Browsing->(108/1000)   DFA->241032 NFA->3443452
Browsing->(109/1000)   DFA->283351 NFA->5003390
Browsing->(110/1000)   DFA->241030 NFA->3323086
Browsing->(111/1000)   DFA->199306 NFA->2638418
Browsing->(112/1000)   DFA->247332 NFA->4147329
Browsing->(113/1000)   DFA->251236 NFA->4957464
Browsing->(114/1000)   DFA->271648 NFA->4377851
Browsing->(115/1000)   DFA->247931 NFA->5134563
Browsing->(116/1000)   DFA->262942 NFA->4697826
