DFA->31099
NFA->2512
Creation time    DFA->30379972512 NFA->278115742
Browsing->(0)   DFA->8662458305 NFA->10088205728
Browsing->(1)   DFA->7942206627 NFA->12785381000
Browsing->(2)   DFA->8072649570 NFA->11469239607
Browsing->(3)   DFA->8030425557 NFA->12054947846
Browsing->(4)   DFA->7959225177 NFA->9162556607
Browsing->(5)   DFA->7893000267 NFA->8118234175
Browsing->(6)   DFA->7892583940 NFA->9105684425
Browsing->(7)   DFA->7887344624 NFA->6419772411
Browsing->(8)   DFA->7872117135 NFA->10763035182
Browsing->(9)   DFA->7920907473 NFA->8108797999
Browsing->(10)   DFA->7928477843 NFA->8453939183
Browsing->(11)   DFA->8153982196 NFA->8942983740
Browsing->(12)   DFA->7919254185 NFA->8304865824
Browsing->(13)   DFA->7875859848 NFA->11484995980
Browsing->(14)   DFA->7888923776 NFA->11333536041
Browsing->(15)   DFA->8567941682 NFA->7922139037
Browsing->(16)   DFA->8006648276 NFA->9000952714
Browsing->(17)   DFA->7920411307 NFA->8006367322
Browsing->(18)   DFA->7931501667 NFA->8593842305
Browsing->(19)   DFA->7944531977 NFA->7249444925
Browsing->(20)   DFA->7913597640 NFA->7128980251
Browsing->(21)   DFA->7930231686 NFA->6658653459
Browsing->(22)   DFA->7866856210 NFA->10286994516
Browsing->(23)   DFA->7918730102 NFA->10976288149
Browsing->(24)   DFA->7895840698 NFA->5290331411
Browsing->(25)   DFA->7911748949 NFA->8365572269
Browsing->(26)   DFA->7873160798 NFA->7523428945
Browsing->(27)   DFA->7916663190 NFA->11531863185
Browsing->(28)   DFA->7912232804 NFA->8282346518
Browsing->(29)   DFA->7982256560 NFA->11444121800
Browsing->(30)   DFA->7895960458 NFA->4756321173
Browsing->(31)   DFA->7875417413 NFA->7895189645
Browsing->(32)   DFA->7912800715 NFA->10831112691
Browsing->(33)   DFA->7927238773 NFA->9328779683
Browsing->(34)   DFA->7907520874 NFA->11854526175
Browsing->(35)   DFA->7904719465 NFA->11757698014
Browsing->(36)   DFA->7950881890 NFA->7640822071
Browsing->(37)   DFA->7904134455 NFA->9524214173
Browsing->(38)   DFA->7912631121 NFA->6683861912
Browsing->(39)   DFA->7945830773 NFA->10789476704
Browsing->(40)   DFA->8429787300 NFA->12880635718
Browsing->(41)   DFA->7919317213 NFA->12265777607
Browsing->(42)   DFA->7908629370 NFA->12003022628
Browsing->(43)   DFA->7886868267 NFA->7039162658
Browsing->(44)   DFA->7896592596 NFA->6932500603
Browsing->(45)   DFA->7909409792 NFA->8831158614
Browsing->(46)   DFA->7939906486 NFA->8153368364
Browsing->(47)   DFA->7904928078 NFA->6680769649
Browsing->(48)   DFA->7953564730 NFA->8969937333
Browsing->(49)   DFA->7902596724 NFA->10041406965
Browsing->(50)   DFA->7963999539 NFA->9803725960
Browsing->(51)   DFA->8388953943 NFA->8457294986
Browsing->(52)   DFA->7926403726 NFA->9873419538
Browsing->(53)   DFA->7866558749 NFA->7776794280
Browsing->(54)   DFA->7896047807 NFA->7069541993
Browsing->(55)   DFA->7901836718 NFA->10920438319
Browsing->(56)   DFA->7930950569 NFA->8146201414
Browsing->(57)   DFA->7909206882 NFA->9169798301
Browsing->(58)   DFA->7901627506 NFA->7863440370
Browsing->(59)   DFA->7913508498 NFA->12429423200
Browsing->(60)   DFA->7889694892 NFA->7785171489
Browsing->(61)   DFA->7884615558 NFA->9405963786
Browsing->(62)   DFA->7932054266 NFA->9138918295
