DFA->31099
NFA->2506
Creation time    DFA->29307581687 NFA->289970618
Browsing->(0)   DFA->9022238660 NFA->516215471
Browsing->(1)   DFA->9162304169 NFA->266513604
Browsing->(2)   DFA->8835456926 NFA->146175298
Browsing->(3)   DFA->8499677474 NFA->140856436
Browsing->(4)   DFA->8544900693 NFA->142039973
Browsing->(5)   DFA->8584989647 NFA->235042583
Browsing->(6)   DFA->8655956207 NFA->129440398
Browsing->(7)   DFA->8582114404 NFA->239175803
Browsing->(8)   DFA->8551168963 NFA->163117610
Browsing->(9)   DFA->8665064905 NFA->189114288
Browsing->(10)   DFA->8731745458 NFA->153752569
Browsing->(11)   DFA->9567335658 NFA->226101677
Browsing->(12)   DFA->8662571467 NFA->134810286
Browsing->(13)   DFA->8660585299 NFA->210106073
Browsing->(14)   DFA->8268681370 NFA->130506874
Browsing->(15)   DFA->8317118110 NFA->111569991
Browsing->(16)   DFA->8305497364 NFA->131452982
Browsing->(17)   DFA->8283384174 NFA->115066273
Browsing->(18)   DFA->9052170451 NFA->198447508
Browsing->(19)   DFA->8385971839 NFA->132232197
Browsing->(20)   DFA->8249839341 NFA->147160127
Browsing->(21)   DFA->8179890929 NFA->115740132
Browsing->(22)   DFA->8204667145 NFA->137601190
Browsing->(23)   DFA->8321605526 NFA->136469880
Browsing->(24)   DFA->8279538205 NFA->118458097
Browsing->(25)   DFA->8302615518 NFA->203816787
Browsing->(26)   DFA->8683612476 NFA->168934437
Browsing->(27)   DFA->8629961629 NFA->182311126
Browsing->(28)   DFA->8536182506 NFA->135261432
Browsing->(29)   DFA->8423332326 NFA->189094774
Browsing->(30)   DFA->8467238733 NFA->111246118
Browsing->(31)   DFA->8310501353 NFA->132998511
Browsing->(32)   DFA->8293619378 NFA->148171074
Browsing->(33)   DFA->8252201912 NFA->138968425
Browsing->(34)   DFA->8368960785 NFA->135774704
Browsing->(35)   DFA->8405705947 NFA->131196046
Browsing->(36)   DFA->8360977098 NFA->121001963
Browsing->(37)   DFA->8188949801 NFA->132347763
Browsing->(38)   DFA->8152258968 NFA->124682543
Browsing->(39)   DFA->8153386676 NFA->148423810
Browsing->(40)   DFA->8165345706 NFA->120147403
Browsing->(41)   DFA->8130187201 NFA->141810651
Browsing->(42)   DFA->8233548682 NFA->151094344
Browsing->(43)   DFA->8236039419 NFA->142091302
Browsing->(44)   DFA->8315905164 NFA->161161158
Browsing->(45)   DFA->8331286335 NFA->164875051
Browsing->(46)   DFA->8410679925 NFA->152537817
Browsing->(47)   DFA->8384772393 NFA->138450341
Browsing->(48)   DFA->8304813296 NFA->160773646
Browsing->(49)   DFA->8182924660 NFA->129731259
Browsing->(50)   DFA->8180994621 NFA->146630941
Browsing->(51)   DFA->8223417033 NFA->119062018
Browsing->(52)   DFA->8167390105 NFA->131164528
Browsing->(53)   DFA->8207595523 NFA->161610795
Browsing->(54)   DFA->8512389913 NFA->149776633
Browsing->(55)   DFA->8374511975 NFA->145986199
Browsing->(56)   DFA->8169761080 NFA->129889743
Browsing->(57)   DFA->8181451770 NFA->143560896
Browsing->(58)   DFA->8175700068 NFA->155722532
Browsing->(59)   DFA->8164986714 NFA->136393341
Browsing->(60)   DFA->8185274018 NFA->136206939
Browsing->(61)   DFA->8171621184 NFA->121461509
Browsing->(62)   DFA->8162808145 NFA->101894585
