DFA->31099
NFA->2493
Creation time    DFA->31587357622 NFA->389339948
Browsing->(0)   DFA->9658074747 NFA->422229535
Browsing->(1)   DFA->12609480 NFA->645772635
Browsing->(2)   DFA->19238545 NFA->438051640
Browsing->(3)   DFA->6567229 NFA->144121896
Browsing->(4)   DFA->7871432 NFA->308101866
Browsing->(5)   DFA->13141066 NFA->259286318
Browsing->(6)   DFA->12468407 NFA->305428029
Browsing->(7)   DFA->15905553 NFA->282950739
Browsing->(8)   DFA->5711171 NFA->159579904
Browsing->(9)   DFA->7976188 NFA->160917725
Browsing->(10)   DFA->6721515 NFA->174093611
Browsing->(11)   DFA->7050490 NFA->95169174
Browsing->(12)   DFA->7166053 NFA->147097096
Browsing->(13)   DFA->7846817 NFA->182503531
Browsing->(14)   DFA->6315396 NFA->122148879
Browsing->(15)   DFA->5930288 NFA->96098173
Browsing->(16)   DFA->6660582 NFA->113644407
Browsing->(17)   DFA->6764738 NFA->180751193
Browsing->(18)   DFA->6556726 NFA->122533688
Browsing->(19)   DFA->6393440 NFA->98281247
Browsing->(20)   DFA->5672450 NFA->155874115
Browsing->(21)   DFA->6153009 NFA->122404619
Browsing->(22)   DFA->7056196 NFA->152189029
Browsing->(23)   DFA->7119828 NFA->180519164
Browsing->(24)   DFA->6030243 NFA->113926257
Browsing->(25)   DFA->8725090 NFA->142993287
Browsing->(26)   DFA->6129294 NFA->115039260
Browsing->(27)   DFA->5396904 NFA->152959847
Browsing->(28)   DFA->5373188 NFA->100853330
Browsing->(29)   DFA->11023124 NFA->122555296
Browsing->(30)   DFA->6295586 NFA->180468736
Browsing->(31)   DFA->6085471 NFA->109584424
Browsing->(32)   DFA->6559125 NFA->101110863
Browsing->(33)   DFA->6602951 NFA->135747992
Browsing->(34)   DFA->6007732 NFA->162179602
Browsing->(35)   DFA->5991823 NFA->117616144
Browsing->(36)   DFA->6137103 NFA->122295660
Browsing->(37)   DFA->5895468 NFA->121540153
Browsing->(38)   DFA->6564230 NFA->163979672
Browsing->(39)   DFA->6097778 NFA->126346935
Browsing->(40)   DFA->6976351 NFA->132368474
Browsing->(41)   DFA->6447164 NFA->167641940
Browsing->(42)   DFA->6840981 NFA->129109321
Browsing->(43)   DFA->8761410 NFA->118645691
Browsing->(44)   DFA->5858250 NFA->115427667
Browsing->(45)   DFA->6631166 NFA->170138984
Browsing->(46)   DFA->5333568 NFA->103598603
Browsing->(47)   DFA->6385935 NFA->128322600
Browsing->(48)   DFA->5666444 NFA->97004360
Browsing->(49)   DFA->5465039 NFA->123597759
Browsing->(50)   DFA->6346613 NFA->112087770
Browsing->(51)   DFA->6036249 NFA->111719471
Browsing->(52)   DFA->7129434 NFA->133090064
Browsing->(53)   DFA->6578039 NFA->149696189
Browsing->(54)   DFA->7167853 NFA->102603569
Browsing->(55)   DFA->5367786 NFA->93383515
Browsing->(56)   DFA->6185427 NFA->108620306
Browsing->(57)   DFA->6531513 NFA->114101551
Browsing->(58)   DFA->5751095 NFA->130002601
Browsing->(59)   DFA->7951877 NFA->113432491
Browsing->(60)   DFA->6674688 NFA->147095895
Browsing->(61)   DFA->5640334 NFA->107519914
Browsing->(62)   DFA->6671985 NFA->102702323
