DFA->1065
NFA->1174
Creation time    DFA->312366560 NFA->31848925
Browsing->(0)   DFA->5885265 NFA->15280016
Browsing->(1)   DFA->3326089 NFA->12026566
Browsing->(2)   DFA->3077856 NFA->8737398
Browsing->(3)   DFA->1940244 NFA->7039685
Browsing->(4)   DFA->2074115 NFA->6959541
Browsing->(5)   DFA->1966957 NFA->5274136
Browsing->(6)   DFA->1975362 NFA->4796579
Browsing->(7)   DFA->1969058 NFA->4963469
Browsing->(8)   DFA->2748278 NFA->8154785
Browsing->(9)   DFA->3139688 NFA->7908653
Browsing->(10)   DFA->2805609 NFA->5343173
Browsing->(11)   DFA->1997875 NFA->5674852
Browsing->(12)   DFA->3203322 NFA->6251762
Browsing->(13)   DFA->2007779 NFA->5135161
Browsing->(14)   DFA->2772591 NFA->6008331
Browsing->(15)   DFA->2033294 NFA->3641558
Browsing->(16)   DFA->977325 NFA->3339297
Browsing->(17)   DFA->759408 NFA->3185914
Browsing->(18)   DFA->663356 NFA->3090461
Browsing->(19)   DFA->904086 NFA->4273698
Browsing->(20)   DFA->1021450 NFA->3622949
Browsing->(21)   DFA->1013344 NFA->3842667
Browsing->(22)   DFA->972522 NFA->4034770
Browsing->(23)   DFA->950611 NFA->4089099
Browsing->(24)   DFA->1632578 NFA->6438162
Browsing->(25)   DFA->1716622 NFA->6718213
Browsing->(26)   DFA->1646385 NFA->6683394
Browsing->(27)   DFA->1174832 NFA->4341835
Browsing->(28)   DFA->992033 NFA->3961230
Browsing->(29)   DFA->1401453 NFA->4310318
Browsing->(30)   DFA->1023851 NFA->4244882
Browsing->(31)   DFA->1366634 NFA->4536339
Browsing->(32)   DFA->1031655 NFA->4323524
Browsing->(33)   DFA->1274785 NFA->4184851
Browsing->(34)   DFA->820942 NFA->4153934
Browsing->(35)   DFA->772315 NFA->4094502
Browsing->(36)   DFA->795128 NFA->3929713
Browsing->(37)   DFA->852758 NFA->3941120
Browsing->(38)   DFA->871969 NFA->4535740
Browsing->(39)   DFA->793026 NFA->4144029
Browsing->(40)   DFA->919994 NFA->4197757
Browsing->(41)   DFA->1123204 NFA->4329527
Browsing->(42)   DFA->770514 NFA->3969934
Browsing->(43)   DFA->1035556 NFA->4210964
Browsing->(44)   DFA->785222 NFA->3866079
Browsing->(45)   DFA->885477 NFA->3821955
