->>>>IterationNumber<<<<--- : 6
DFA->9
NFA->5
Creation time    DFA->4715835 NFA->1773353
Browsing->(0/1000)   DFA->974025 NFA->950612
Browsing->(1/1000)   DFA->153682 NFA->353891
Browsing->(2/1000)   DFA->109858 NFA->322073
Browsing->(3/1000)   DFA->102955 NFA->326276
Browsing->(4/1000)   DFA->104756 NFA->321473
Browsing->(5/1000)   DFA->101155 NFA->315769
Browsing->(6/1000)   DFA->104158 NFA->335880
Browsing->(7/1000)   DFA->104155 NFA->315169
Browsing->(8/1000)   DFA->101454 NFA->309466
Browsing->(9/1000)   DFA->96653 NFA->304363
Browsing->(10/1000)   DFA->97252 NFA->315470
Browsing->(11/1000)   DFA->90948 NFA->288456
Browsing->(12/1000)   DFA->105056 NFA->384507
Browsing->(13/1000)   DFA->99354 NFA->323873
Browsing->(14/1000)   DFA->85846 NFA->376703
Browsing->(15/1000)   DFA->136273 NFA->380903
Browsing->(16/1000)   DFA->96352 NFA->328677
Browsing->(17/1000)   DFA->96052 NFA->312769
Browsing->(18/1000)   DFA->97552 NFA->294457
Browsing->(19/1000)   DFA->86146 NFA->248535
Browsing->(20/1000)   DFA->87347 NFA->257539
Browsing->(21/1000)   DFA->86447 NFA->255736
Browsing->(22/1000)   DFA->108057 NFA->313069
Browsing->(23/1000)   DFA->97853 NFA->301361
Browsing->(24/1000)   DFA->53728 NFA->161487
Browsing->(25/1000)   DFA->90048 NFA->302262
Browsing->(26/1000)   DFA->119465 NFA->420226
Browsing->(27/1000)   DFA->69336 NFA->215515
Browsing->(28/1000)   DFA->83146 NFA->324776
Browsing->(29/1000)   DFA->92150 NFA->383306
Browsing->(30/1000)   DFA->134173 NFA->437335
Browsing->(31/1000)   DFA->82545 NFA->218519
Browsing->(32/1000)   DFA->65735 NFA->220919
Browsing->(33/1000)   DFA->122766 NFA->724890
Browsing->(34/1000)   DFA->120364 NFA->227824
Browsing->(35/1000)   DFA->72638 NFA->111061
Browsing->(36/1000)   DFA->115563 NFA->173192
Browsing->(37/1000)   DFA->122466 NFA->206810
Browsing->(38/1000)   DFA->83445 NFA->144978
Browsing->(39/1000)   DFA->51628 NFA->50728
Browsing->(40/1000)   DFA->87647 NFA->79844
Browsing->(41/1000)   DFA->86447 NFA->78342
Browsing->(42/1000)   DFA->95151 NFA->87947
Browsing->(43/1000)   DFA->81043 NFA->73540
Browsing->(44/1000)   DFA->99953 NFA->78042
Browsing->(45/1000)   DFA->88547 NFA->77743
Browsing->(46/1000)   DFA->87047 NFA->83745
Browsing->(47/1000)   DFA->87046 NFA->86146
Browsing->(48/1000)   DFA->79843 NFA->71138
Browsing->(49/1000)   DFA->88247 NFA->81944
Browsing->(50/1000)   DFA->78041 NFA->81045
Browsing->(51/1000)   DFA->87946 NFA->83444
Browsing->(52/1000)   DFA->81044 NFA->85846
Browsing->(53/1000)   DFA->135372 NFA->80143
Browsing->(54/1000)   DFA->76542 NFA->72039
Browsing->(55/1000)   DFA->77441 NFA->74441
Browsing->(56/1000)   DFA->78942 NFA->101454
Browsing->(57/1000)   DFA->100854 NFA->77141
Browsing->(58/1000)   DFA->78642 NFA->87647
Browsing->(59/1000)   DFA->75640 NFA->73541
Browsing->(60/1000)   DFA->107158 NFA->72339
Browsing->(61/1000)   DFA->12006 NFA->39621
Browsing->(62/1000)   DFA->18310 NFA->75040
Browsing->(63/1000)   DFA->18910 NFA->81045
Browsing->(64/1000)   DFA->15008 NFA->75040
Browsing->(65/1000)   DFA->15310 NFA->118563
Browsing->(66/1000)   DFA->15909 NFA->102055
Browsing->(67/1000)   DFA->15610 NFA->120964
Browsing->(68/1000)   DFA->15608 NFA->86146
Browsing->(69/1000)   DFA->28217 NFA->72940
Browsing->(70/1000)   DFA->15609 NFA->67236
Browsing->(71/1000)   DFA->13508 NFA->97252
Browsing->(72/1000)   DFA->27314 NFA->137474
Browsing->(73/1000)   DFA->16809 NFA->75340
Browsing->(74/1000)   DFA->21012 NFA->131169
Browsing->(75/1000)   DFA->26115 NFA->79543
Browsing->(76/1000)   DFA->18610 NFA->78943
Browsing->(77/1000)   DFA->13508 NFA->69637
Browsing->(78/1000)   DFA->16509 NFA->78643
Browsing->(79/1000)   DFA->19211 NFA->128169
Browsing->(80/1000)   DFA->30016 NFA->115864
Browsing->(81/1000)   DFA->17108 NFA->111662
Browsing->(82/1000)   DFA->26115 NFA->130570
Browsing->(83/1000)   DFA->23714 NFA->109559
Browsing->(84/1000)   DFA->25513 NFA->121566
Browsing->(85/1000)   DFA->24613 NFA->104457
Browsing->(86/1000)   DFA->14408 NFA->75642
Browsing->(87/1000)   DFA->14709 NFA->72340
Browsing->(88/1000)   DFA->22814 NFA->128469
Browsing->(89/1000)   DFA->24613 NFA->122466
Browsing->(90/1000)   DFA->27014 NFA->85846
Browsing->(91/1000)   DFA->20110 NFA->107759
Browsing->(92/1000)   DFA->17409 NFA->81944
Browsing->(93/1000)   DFA->15010 NFA->70538
Browsing->(94/1000)   DFA->15609 NFA->81344
Browsing->(95/1000)   DFA->15007 NFA->73539
Browsing->(96/1000)   DFA->16209 NFA->83745
Browsing->(97/1000)   DFA->16209 NFA->79543
Browsing->(98/1000)   DFA->17709 NFA->76841
Browsing->(99/1000)   DFA->15009 NFA->77742
Browsing->(100/1000)   DFA->13207 NFA->73240
Browsing->(101/1000)   DFA->20711 NFA->102655
Browsing->(102/1000)   DFA->15609 NFA->78343
Browsing->(103/1000)   DFA->14708 NFA->79842
Browsing->(104/1000)   DFA->24913 NFA->125467
Browsing->(105/1000)   DFA->31818 NFA->135071
Browsing->(106/1000)   DFA->27614 NFA->132071
Browsing->(107/1000)   DFA->28816 NFA->132371
Browsing->(108/1000)   DFA->15908 NFA->87348
Browsing->(109/1000)   DFA->15308 NFA->84945
Browsing->(110/1000)   DFA->15309 NFA->85246
Browsing->(111/1000)   DFA->16208 NFA->4970072
Browsing->(112/1000)   DFA->16510 NFA->65135
Browsing->(113/1000)   DFA->13508 NFA->60033
Browsing->(114/1000)   DFA->9305 NFA->37520
Browsing->(115/1000)   DFA->12908 NFA->84644
Browsing->(116/1000)   DFA->17108 NFA->59731
Browsing->(117/1000)   DFA->12007 NFA->64835
Browsing->(118/1000)   DFA->13206 NFA->115862
Browsing->(119/1000)   DFA->27015 NFA->130570
Browsing->(120/1000)   DFA->23712 NFA->121866
Browsing->(121/1000)   DFA->27015 NFA->137773
Browsing->(122/1000)   DFA->26714 NFA->134472
Browsing->(123/1000)   DFA->23712 NFA->122465
Browsing->(124/1000)   DFA->23712 NFA->123366
Browsing->(125/1000)   DFA->21311 NFA->95451
Browsing->(126/1000)   DFA->23712 NFA->103257
Browsing->(127/1000)   DFA->26414 NFA->102055
Browsing->(128/1000)   DFA->24012 NFA->121865
Browsing->(129/1000)   DFA->30916 NFA->104756
Browsing->(130/1000)   DFA->24313 NFA->99054
Browsing->(131/1000)   DFA->19811 NFA->110159
Browsing->(132/1000)   DFA->23113 NFA->99653
Browsing->(133/1000)   DFA->24613 NFA->113161
Browsing->(134/1000)   DFA->12907 NFA->52228
Browsing->(135/1000)   DFA->13507 NFA->58831
Browsing->(136/1000)   DFA->7804 NFA->31517
Browsing->(137/1000)   DFA->25215 NFA->88548
Browsing->(138/1000)   DFA->12907 NFA->62134
Browsing->(139/1000)   DFA->12007 NFA->76241
Browsing->(140/1000)   DFA->11706 NFA->49225
Browsing->(141/1000)   DFA->12606 NFA->56731
Browsing->(142/1000)   DFA->12908 NFA->55830
Browsing->(143/1000)   DFA->11705 NFA->61534
Browsing->(144/1000)   DFA->12908 NFA->58230
Browsing->(145/1000)   DFA->13207 NFA->63032
Browsing->(146/1000)   DFA->13207 NFA->61234
Browsing->(147/1000)   DFA->18309 NFA->57930
Browsing->(148/1000)   DFA->11706 NFA->51927
Browsing->(149/1000)   DFA->11706 NFA->52529
Browsing->(150/1000)   DFA->13208 NFA->57330
Browsing->(151/1000)   DFA->11706 NFA->51326
Browsing->(152/1000)   DFA->12307 NFA->57630
Browsing->(153/1000)   DFA->12907 NFA->57629
Browsing->(154/1000)   DFA->12907 NFA->61533
Browsing->(155/1000)   DFA->7804 NFA->32416
Browsing->(156/1000)   DFA->12308 NFA->57030
Browsing->(157/1000)   DFA->13508 NFA->51629
Browsing->(158/1000)   DFA->13208 NFA->57032
Browsing->(159/1000)   DFA->12606 NFA->57632
Browsing->(160/1000)   DFA->11407 NFA->49528
Browsing->(161/1000)   DFA->7804 NFA->31216
Browsing->(162/1000)   DFA->12307 NFA->51628
Browsing->(163/1000)   DFA->12907 NFA->57633
Browsing->(164/1000)   DFA->15609 NFA->60034
Browsing->(165/1000)   DFA->14109 NFA->51629
Browsing->(166/1000)   DFA->12307 NFA->61231
Browsing->(167/1000)   DFA->12606 NFA->57630
Browsing->(168/1000)   DFA->11707 NFA->51628
Browsing->(169/1000)   DFA->12908 NFA->57329
Browsing->(170/1000)   DFA->12907 NFA->58231
Browsing->(171/1000)   DFA->12907 NFA->57031
Browsing->(172/1000)   DFA->11706 NFA->53428
Browsing->(173/1000)   DFA->12906 NFA->59733
Browsing->(174/1000)   DFA->12608 NFA->58533
Browsing->(175/1000)   DFA->12906 NFA->59731
Browsing->(176/1000)   DFA->12606 NFA->57931
Browsing->(177/1000)   DFA->12608 NFA->57330
Browsing->(178/1000)   DFA->9905 NFA->39021
Browsing->(179/1000)   DFA->12907 NFA->58233
Browsing->(180/1000)   DFA->13208 NFA->61233
Browsing->(181/1000)   DFA->12907 NFA->57329
Browsing->(182/1000)   DFA->12907 NFA->57929
Browsing->(183/1000)   DFA->12306 NFA->57031
Browsing->(184/1000)   DFA->11406 NFA->51328
Browsing->(185/1000)   DFA->11706 NFA->48925
Browsing->(186/1000)   DFA->12908 NFA->57329
Browsing->(187/1000)   DFA->12606 NFA->57330
Browsing->(188/1000)   DFA->12908 NFA->59132
