DFA->2324
NFA->1170
Creation time    DFA->139231665 NFA->42211097
Browsing->(0/1000)   DFA->4800783 NFA->19444156
Browsing->(1/1000)   DFA->2631514 NFA->11617146
Browsing->(2/1000)   DFA->3202122 NFA->9676602
Browsing->(3/1000)   DFA->3509187 NFA->10388586
Browsing->(4/1000)   DFA->4369149 NFA->15883039
Browsing->(5/1000)   DFA->3770025 NFA->17797770
Browsing->(6/1000)   DFA->3255850 NFA->9499207
Browsing->(7/1000)   DFA->1589952 NFA->16162190
Browsing->(8/1000)   DFA->938606 NFA->12952565
Browsing->(9/1000)   DFA->974324 NFA->13223612
Browsing->(10/1000)   DFA->897183 NFA->2675340
Browsing->(11/1000)   DFA->701475 NFA->14032545
Browsing->(12/1000)   DFA->1043661 NFA->16858264
Browsing->(13/1000)   DFA->1100693 NFA->20480611
Browsing->(14/1000)   DFA->858461 NFA->13796618
Browsing->(15/1000)   DFA->1247471 NFA->13370689
Browsing->(16/1000)   DFA->927800 NFA->7783786
Browsing->(17/1000)   DFA->965016 NFA->5470741
Browsing->(18/1000)   DFA->1068574 NFA->8491869
Browsing->(19/1000)   DFA->581412 NFA->2990208
Browsing->(20/1000)   DFA->1474693 NFA->17359834
Browsing->(21/1000)   DFA->1422467 NFA->29793120
Browsing->(22/1000)   DFA->527983 NFA->11476671
Browsing->(23/1000)   DFA->473354 NFA->12807887
Browsing->(24/1000)   DFA->503670 NFA->13408209
Browsing->(25/1000)   DFA->479356 NFA->15315137
Browsing->(26/1000)   DFA->362295 NFA->6262267
Browsing->(27/1000)   DFA->432834 NFA->12849909
Browsing->(28/1000)   DFA->541190 NFA->8636244
Browsing->(29/1000)   DFA->536089 NFA->10662334
Browsing->(30/1000)   DFA->362294 NFA->4654003
Browsing->(31/1000)   DFA->380905 NFA->9651989
Browsing->(32/1000)   DFA->498566 NFA->13822431
Browsing->(33/1000)   DFA->447240 NFA->8992236
Browsing->(34/1000)   DFA->405819 NFA->7093715
Browsing->(35/1000)   DFA->371900 NFA->10559679
Browsing->(36/1000)   DFA->505171 NFA->10836127
Browsing->(37/1000)   DFA->350589 NFA->5200597
Browsing->(38/1000)   DFA->437935 NFA->13351477
Browsing->(39/1000)   DFA->363195 NFA->6315096
Browsing->(40/1000)   DFA->279452 NFA->1583049
Browsing->(41/1000)   DFA->462550 NFA->12007957
Browsing->(42/1000)   DFA->484460 NFA->12995788
Browsing->(43/1000)   DFA->451144 NFA->14509500
Browsing->(44/1000)   DFA->491063 NFA->14311695
Browsing->(45/1000)   DFA->350290 NFA->4720938
Browsing->(46/1000)   DFA->456244 NFA->12296113
Browsing->(47/1000)   DFA->632441 NFA->17547136
Browsing->(48/1000)   DFA->409120 NFA->9763049
Browsing->(49/1000)   DFA->499469 NFA->7643609
Browsing->(50/1000)   DFA->592217 NFA->10532361
Browsing->(51/1000)   DFA->557701 NFA->14948639
Browsing->(52/1000)   DFA->558901 NFA->14032544
Browsing->(53/1000)   DFA->569708 NFA->15346354
Browsing->(54/1000)   DFA->515978 NFA->11151295
Browsing->(55/1000)   DFA->518978 NFA->13351779
Browsing->(56/1000)   DFA->570907 NFA->13784012
Browsing->(57/1000)   DFA->479959 NFA->16435036
Browsing->(58/1000)   DFA->791227 NFA->10583090
Browsing->(59/1000)   DFA->1002541 NFA->26472733
Browsing->(60/1000)   DFA->476657 NFA->14119293
Browsing->(61/1000)   DFA->473956 NFA->3084459
Browsing->(62/1000)   DFA->486263 NFA->9280990
Browsing->(63/1000)   DFA->591619 NFA->9708721
Browsing->(64/1000)   DFA->458045 NFA->13678654
Browsing->(65/1000)   DFA->528282 NFA->12973276
Browsing->(66/1000)   DFA->481460 NFA->13210106
Browsing->(67/1000)   DFA->412722 NFA->10570482
Browsing->(68/1000)   DFA->494365 NFA->14989759
Browsing->(69/1000)   DFA->526782 NFA->11253050
Browsing->(70/1000)   DFA->420526 NFA->10238504
Browsing->(71/1000)   DFA->507273 NFA->8983830
Browsing->(72/1000)   DFA->533085 NFA->16799433
Browsing->(73/1000)   DFA->422928 NFA->8063235
Browsing->(74/1000)   DFA->466153 NFA->10843630
Browsing->(75/1000)   DFA->481459 NFA->14746029
Browsing->(76/1000)   DFA->640545 NFA->22244663
Browsing->(77/1000)   DFA->685269 NFA->5408309
Browsing->(78/1000)   DFA->337382 NFA->1441674
Browsing->(79/1000)   DFA->378202 NFA->2644422
Browsing->(80/1000)   DFA->1723526 NFA->4016458
