DFA->31099
NFA->2506
Creation time    DFA->30384063711 NFA->336128536
Browsing->(0)   DFA->8371170878 NFA->203415177
Browsing->(1)   DFA->8230009175 NFA->170660364
Browsing->(2)   DFA->8478462970 NFA->186540403
Browsing->(3)   DFA->8212314959 NFA->119829231
Browsing->(4)   DFA->8396239455 NFA->131786459
Browsing->(5)   DFA->8369721398 NFA->119639530
Browsing->(6)   DFA->8321857362 NFA->132092027
Browsing->(7)   DFA->8264946161 NFA->169768586
Browsing->(8)   DFA->8121924659 NFA->128717912
Browsing->(9)   DFA->8207379105 NFA->122223324
Browsing->(10)   DFA->8372929524 NFA->128629367
Browsing->(11)   DFA->8572041588 NFA->128192629
Browsing->(12)   DFA->8260309569 NFA->120413046
Browsing->(13)   DFA->8163129915 NFA->130646451
Browsing->(14)   DFA->8356225840 NFA->128313896
Browsing->(15)   DFA->8165853885 NFA->134042173
Browsing->(16)   DFA->8245181432 NFA->141924715
Browsing->(17)   DFA->8254018487 NFA->125426643
Browsing->(18)   DFA->8232782066 NFA->130655752
Browsing->(19)   DFA->8387184790 NFA->130190204
Browsing->(20)   DFA->8280358248 NFA->128935530
Browsing->(21)   DFA->8212432623 NFA->134163738
Browsing->(22)   DFA->8225426016 NFA->117681277
Browsing->(23)   DFA->8379639330 NFA->131493202
Browsing->(24)   DFA->8151490857 NFA->116611201
Browsing->(25)   DFA->8194556515 NFA->133457758
Browsing->(26)   DFA->8333774368 NFA->136206641
Browsing->(27)   DFA->8179667606 NFA->170863573
Browsing->(28)   DFA->8207128172 NFA->132871246
Browsing->(29)   DFA->8425392035 NFA->132069811
Browsing->(30)   DFA->8192606964 NFA->122120668
Browsing->(31)   DFA->8370594868 NFA->119666842
Browsing->(32)   DFA->8566862004 NFA->146336483
Browsing->(33)   DFA->8405092419 NFA->134758361
Browsing->(34)   DFA->8493903871 NFA->134271495
Browsing->(35)   DFA->8180389793 NFA->126283604
Browsing->(36)   DFA->8175821040 NFA->137890542
Browsing->(37)   DFA->8102796875 NFA->186204817
Browsing->(38)   DFA->8170909801 NFA->141648263
Browsing->(39)   DFA->8362775061 NFA->120427153
Browsing->(40)   DFA->8196141066 NFA->132333056
Browsing->(41)   DFA->8294308249 NFA->137931669
Browsing->(42)   DFA->8092820412 NFA->175625333
Browsing->(43)   DFA->8165442059 NFA->127290644
Browsing->(44)   DFA->8136405946 NFA->128386834
Browsing->(45)   DFA->8135296547 NFA->138166394
Browsing->(46)   DFA->8117423740 NFA->138189805
Browsing->(47)   DFA->8162881381 NFA->170579620
Browsing->(48)   DFA->8435807032 NFA->124234404
Browsing->(49)   DFA->8598829789 NFA->133077153
Browsing->(50)   DFA->8220850353 NFA->130176997
Browsing->(51)   DFA->8117593332 NFA->140588693
Browsing->(52)   DFA->8091350818 NFA->178024828
Browsing->(53)   DFA->8016551202 NFA->119346274
Browsing->(54)   DFA->8024299865 NFA->130151182
Browsing->(55)   DFA->8566620072 NFA->162406523
Browsing->(56)   DFA->8151845347 NFA->128435158
Browsing->(57)   DFA->8113038683 NFA->168990865
Browsing->(58)   DFA->8153968988 NFA->126273395
Browsing->(59)   DFA->8088719904 NFA->127924286
Browsing->(60)   DFA->8044976482 NFA->136855287
Browsing->(61)   DFA->8044808990 NFA->132325249
Browsing->(62)   DFA->7993648586 NFA->154279659
